batch_size,epochs,loss,fake_acc,acc,-PAD-,V,PREP+ADV,CUR,PREP,PROADJ,PU,PREP+ART,PRO-KS,N,KC,PCP,PREP+PROPESS,PROPESS,NUM,IN,ADV-KS,PREP+PRO-KS,PREP+PROSUB,KS,NPROP,ART,ADJ,ADV,PDEN,PROSUB,PREP+PROADJ
120,1,0.03967781610939104,0.9885863726401909,0.8376014447513738,0.9999744562940306,0.8877222744026194,0.0,0.006408330830079103,0.8709836906385973,0.7653240806553469,0.6957150253423646,0.5462230785417107,0.8912356797912293,0.9728007387346244,0.34765194753179135,0.0,0.6400122490239645,0.3527252094389373,0.7119964968733696,0.0,0.8959747323308969,0.0,0.0,0.9142532885980627,0.8289597607145459,0.6066240348929297,0.6378897488017834,0.0,0.998694228427529,0.8672250225942151,0.6597300299913696,0.0
120,2,0.020082772490050436,0.9938153474672523,0.9116932276205566,1.0,0.3732852708521077,0.14098327826174026,0.8494850532555918,0.7994533926538648,0.8886736152386709,0.22108741363772905,0.8301918167944004,0.9995071591144277,0.9426943129582278,0.046460398518073494,0.9538976203614771,0.5487133273255231,0.940397521763062,0.9644819278661664,0.7597305068016993,0.9334089214246141,0.0,0.7890536765413002,0.829725587114031,0.2688828810787357,0.7308966524603989,0.9320841894895079,0.9713905712652655,0.8459476683977786,0.7331117826274708,0.0,0.0
120,3,0.016980457660677108,0.9948610615369805,0.9254680126699498,1.0,0.12603050632488902,0.02242915790527686,0.8300185652875585,0.9394166293977114,0.9622014245118673,0.7877313523453505,0.8381782553733279,0.5764827609225326,0.24939087480391178,0.0,0.24965788858849838,0.8947353637737842,0.7937472096827125,0.7788949058347088,0.9380112803967301,0.834947952040172,0.8918486738111507,0.9995071591144277,0.19224992490237308,0.3732852708521077,0.7683081275033171,0.9648462649185263,0.9712010872801786,0.8396409863197183,0.9595489305129947,0.9741016383514729,0.0
90,3,0.017414761939527762,0.9945501734380359,0.9215569355880832,1.0,0.965542277684927,0.9692405733515863,0.8824879818308741,0.28116551516972066,0.876520417083608,0.9554583749317382,0.9565184889880063,0.7697788943808768,0.8214174273313134,0.0,0.8082123719105418,0.9340391215027898,0.9099071069595235,0.24565268181969896,0.5759487333533594,0.7942962880129103,0.02242915790527686,0.9641501061456583,0.5480096004939071,0.849224048983737,0.9238372902357017,0.22375755148359536,0.3732852708521077,0.9994811089891021,0.8515627424891512,0.12015620306398318,0.0
60,3,0.01567072639077875,0.9952385687333896,0.930656928658469,1.0,0.9743697492397724,0.8341620211215393,0.7962722699631908,0.25312906778812455,0.006408330830079103,0.25312906778812455,0.9451205050206373,0.9699710839711233,0.823569914693155,0.14098327826174026,0.852318662262177,0.9083271975755065,0.3292279963953139,0.8761721654484086,0.9502370901006385,0.7791758498760637,0.04325623310303395,0.9695414832566552,0.9995071591144277,0.5786188711992256,0.9658362716251748,0.782066694359872,0.970986503065012,0.831029173920159,0.7839002246932554,0.3732852708521077,0.0
60,2,0.017653114681038046,0.99459620153294,0.9226290140779688,1.0,0.9453501756183607,0.7795747599278431,0.0,0.8934339258794819,0.8555785680447743,0.7842689653231429,0.9601039738311158,0.578351857414639,0.8071802928190246,0.0,0.9422965201295727,0.8789167592175859,0.8698009945068031,0.9675996177864148,0.9469766638188432,0.7666685648546897,0.2865057908614532,0.9995071591144277,0.7889271348568434,0.2563332332031641,0.9551264660477177,0.3732852708521077,0.9821977396679072,0.18904575948733354,0.8336198875943887,0.12336036847902274,0.0
60,1,0.023988472112492987,0.9927357170834155,0.8965388079742431,1.0,0.8942091969601336,0.0,0.5233470177897934,0.31534327959680913,0.9240501729374975,0.7684210888643409,0.6590591876631086,0.8117301129171539,0.9146057935946508,0.8213651907960389,0.025633323320316412,0.9446504733827915,0.7212556747775645,0.7638832068991274,0.7858242621835292,0.0993291278662261,0.9705524004217098,0.09612496245118654,0.8662326844083764,0.3732852708521077,0.9995071591144277,0.7776678270088937,0.9436640375991501,0.9453535081581028,0.0,0.8486703478160554,0.0
90,1,0.03141745523045768,0.9905385070106366,0.866944033975615,0.9999995688690239,0.7767458055373523,0.6567430301390331,0.887477413889624,0.7940974081219033,0.7504737419347575,0.9209652762187561,0.4373685791528988,0.0,0.8208650343086205,0.9489351743956606,0.0032041654150395515,0.0993291278662261,0.9994655465765699,0.9052333181901249,0.02723540602783619,0.0,0.6481776924001511,0.0,0.7247962065368296,0.3732852708521077,0.9019209622182583,0.7498765718048926,0.9582229666752105,0.9360675582022204,0.7888524764898918,0.6560981801594596,0.0
90,2,0.02015901155547602,0.9938480502864173,0.9119116343409843,1.0,0.764216168268918,0.9683652829737939,0.8946121664828393,0.973425810750413,0.94483836461234,0.6623761910647986,0.14418744367677983,0.8472593681365085,0.9629768540001534,0.0,0.7926543467546772,0.06408330830079102,0.3732852708521077,0.2998564800907847,0.6984036844702636,0.9571518542518057,0.5468442308334167,0.8767106183509339,0.0,0.7797464810074396,0.9108951088122716,0.8547706318031272,0.9995071591144277,0.22162144120690233,0.7862092683216526,0.9511625326136471,0.0
