window_size,epochs,accuracy
2,1,0.9615446925163269
3,1,0.9615447521209717
4,1,0.9615446925163269
5,1,0.9615447521209717
2,2,0.9615446925163269
3,2,0.9615447521209717
4,2,0.9615446925163269
5,2,0.9615447521209717
2,3,0.9615446925163269
3,3,0.9615447521209717
4,3,0.9615446925163269
5,3,0.9615447521209717
2,4,0.9615446925163269
3,4,0.9615447521209717
4,4,0.9615446925163269
5,4,0.9615447521209717
2,5,0.9615446925163269
3,5,0.9615447521209717
4,5,0.9615446925163269
5,5,0.9615447521209717
